Sample Material,ID,MFR,TML,Category,CVCM,Space Code,WVR,Material Usage,Cure
MMM 40 ANTISTATIC CLEAR POLYESTER/ACRYLIC TAPE/F,GSC27832,MMM,1.59,16,0.1,1,0.71,ANTISTATIC TAPE,
MMM 400 SERIES VELVET BLACK A/B AS 4/1 BV,GSFC1396,MMM,4.27,0,0.09,1,,PAINT,90M
MMM 400 SERIES VELVET BLACK A/B AS 4/1 BW,GSFC18PN,MMM,10.5,0,2.12,1,,PAINT,1H
MMM 400 SERIES VELVET BLACK OVER PREPARAKOTE,GSFC1399,MMM,2.83,0,0.22,2,,PAINT COMPOSITE,24H
MMM 400 SERIES VELVET BLACK OVER PREPARAKOTE,GSFC1435,MMM,2.7,0,0.08,2,,PAINT COMPOSITE,24H
MMM 401 BLACK OVER ZINC CHROMATE,GSFC2293,MMM,4.82,13,0.12,1,,PAINT COMPOSITE,5D
MMM 401 OVER GRUMMAN 1019 BLACK EPOXY,GSFC0008,MMM,4.7,0,1,1,,PAINT,
MMM 401 SERIES A/B AS 4/1 BW VELVET BLACK,GSFC24PN,MMM,4.49,0,0.23,1,,PAINT,1H
MMM 401/C10 A/B AS 3/1 BV VELVET BLACK,GSFC2873,MMM,3.62,0,0.05,2,,PAINT,1H
MMM 401/C10 A/B AS 3/1 BV VELVET BLACK,GSFC2919,MMM,3.63,0,0.03,2,,PAINT,48H
MMM 401-A10 A/B AS 3/1 BV WHITE PAINT,GSFC3087,MMM,2.88,13,0.02,1,,PAINT,7D
NGAC P907-99,GSC33946,NGA,0.72,1,0,2,0.24,ADHESIVE,24H
MMM 401-A10 A/B AS 3/1 BV WHITE PAINT,GSFC3115,MMM,2.85,13,0.03,1,,PAINT,7D
MMM 401-A10 A/B AS 3/1 BW VELVET WHITE,GSFC2002,MMM,6.95,0,0.06,1,,PAINT,7D
MMM 401-A10 A/B AS 3/1 BW VELVET WHITE,GSFC2095,MMM,3.09,13,0.08,2,,PAINT,7D
MMM 401-C10 A/B AS 3/1 BV VELVET BLACK,GSFC2871,MMM,4.29,0,0.05,1,,PAINT,7D
MMM 401-C10 A/B AS 3/1 BV VELVET BLACK,GSFC2917,MMM,3.69,0,0.04,2,,PAINT,24H
MMM 401-C10 A/B AS 3/1 BV VELVET BLACK,GSFC3089,MMM,3.6,0,0.03,1,,PAINT,7D
MMM 401-C10 A/B AS 3/1 BV VELVET BLACK,GSFC3113,MMM,3.61,0,0.03,1,,PAINT,7D
MMM 401-C10 A/B AS 3/1 BV VELVET BLACK,GSFC5118,MMM,2.91,13,0.01,3,,PAINT,30M
MMM 401-C10 A/B AS 3/1 BV VELVET BLACK,GSFC5310,MMM,3.33,13,0.02,2,,PAINT,30M
MMM 401-C10 A/B AS 3/1 BV VELVET BLACK,GSFC6302,MMM,3.18,13,0,3,99.99,PAINT,24H
MMM 401-C10 A/B AS 3/1 BW VELVET BLACK,SRI14013,MMM,5.3,0,0.03,1,,PAINT,7D
MMM 401-C10 A/B AS 3/1 BW VELVET BLACK,SRI14014,MMM,5.32,0,0.03,2,,PAINT,2H
MMM 401-C10 A/B AS 3/1 BW VELVET BLACK,SRI14015,MMM,4.72,0,0.03,2,,PAINT,2H
MMM 401-C10 A/B AS 3/1 BW VELVET BLACK,SRI14016,MMM,3.6,0,0.04,2,,PAINT,2H
MMM 401-C10 VELVET BLACK OVER E-SOLDER 3022 LAYUP,GSFC7031,MMM,2.76,13,0.01,3,2.4,PAINT COMPOSITE,3H
MMM 403-C10 A/B AS 3.5/1 BV VELVET BLACK,GSFC0972,MMM,3.11,13,0.01,3,,CONF COAT,1H
MMM 403-C10 A/B AS 3/1 BV VELVET BLACK,GSFC2933,MMM,3.06,0,0.05,2,,PAINT,24H
MMM 403-C10 A/B AS 3/1 BV VELVET BLACK,GSFC2935,MMM,3,13,0.07,2,,PAINT,48H
MMM 4718 WHITE VINYL FOAM TAPE/ADHESIVE/F,GSC17414,MMM,3.11,7,0.61,1,0.03,DAMPER,
MMM 5037 STRUCTURAL ADHESIVE A/B AS 1.69/1 BW BLACK,GSC24405,MMM,2.28,1,0.09,1,0.87,ADHESIVE,7D
MMM 5047 STRUCTURAL ADHESIVE A/B AS 1.69/1 BW BLACK,GSC24402,MMM,2.26,1,0.18,1,0.58,ADHESIVE,7D
MMM 5303R Z-AXIS ADHESIVE FILM (ZAF)/F,GSC24162,MMM,2.41,1,0.01,2,0.7,COND ADH FILM,30S
MMM 7610 HI-GAIN REFLECTIVE SHEET/F,GSC17844,MMM,1.5,16,0.26,1,0.16,RETRO REFLECTOR,
MMM 7816 WHITE LABEL STOCK/ADH/F,GSC20456,MMM,1.04,11,0.16,1,0.17,LABEL,
MMM 7953 MP SCOTCH MARK MEMBRANE SPACER ACRYLIC/F,GSC20486,MMM,0.69,1,0.02,1,0.14,LABEL ADHESIVE,
MMM 801 A/B AS 10/1 BW SEALANT,GSFC0728,MMM,40.24,15,1.78,2,,SEALANT,24H
MMM 8418 POLYESTER LABEL STOCK/ADHESIVE,GSC13822,MMM,2.87,11,0.03,1,3.75,LABEL,
MMM 919 SYN RUBBER TISSUE REINFORCED TRANSFER FILM/F,GSC20450,MMM,5.88,1,2.58,1,0.07,TRANSFER FILM,
MMM 9445 LAMINATING ACRYLIC ADHESIVE/F,GSC26818,MMM,3.64,16,0.33,1,1.66,TAPE,
MMM 9470 ACRYLIC TRANSFER FILM/F,GSC17484,MMM,2.42,16,0.66,1,0.11,TRANSFER FILM,
MMM 965 ACRYLIC TRANSFER FILM/F,GSC20453,MMM,2.45,1,0.01,1,0.49,TRANSFER FILM,
MMM 9713 CONDUCTIVE TRANSFER TAPE/F,GSC30709,MMM,0.95,16,0,1,0.28,TAPE,
MMM ALUM SCOTCH TAPE/R,GSFC1047,MMM,4.45,0,2.49,1,,TAPE,
MMM ALUM SCOTCH TAPE/S,GSFC1044,MMM,6.39,0,3.74,1,,TAPE,
MMM ALUM/MYLAR/ACRYLIC ADH SLI 250543,GSFC0497,MMM,0.65,0,0,1,,TAPE,
MMM ALUM/MYLAR/ACRYLIC ADH SLI 250543,GSFC0500,MMM,0.75,0,0,1,,TAPE,
MMM EPS-200 ADH LINED POLYOLEFIN SHRINK TUBE-HEATGUN,GSC24575,MMM,0.57,2,0.13,1,0.11,SHRINK TUBING,
MMM FK-800 RESIN LOT 30010,GSC27598,MCI,0.55,1,0.12,1,0.01,RESIN,
MMM FOIL 7800 ALUMINUM/ACRYLIC ADH,GSFC0269,MMM,4.9,16,2.74,1,,FOIL,
MMM HIGH GAIN REFLECTIVE SHEET/F,GSC22399,MMM,1.87,16,0.47,1,0.22,TAPE,24H
MMM HIGH GAIN REFLECTIVE SHEET/F,GSC22402,MMM,1.84,16,0.47,1,0.21,TAPE,
MMM MW ADH LINED POLYOLEFIN SHRINK TUBING-HEAT GUN,GSC24572,MMM,2.22,2,0.24,1,0.01,SHRINK TUBING,
MMM NPE 3158E RECLOSABLE 2 SIDE TAPE/F,GSC22228,MMM,5.41,1,2.67,1,0.05,FASTENER,
MMM OPTICAL FIBER SINGLE MODE 625613-06653,GSC27412,MMM,3.95,99,0.37,1,0.04,FIBER OPTIC,
MMM SJ-3000 RECLOSABLE 2 SIDE TAPE/F,GSC22234,MMM,7.91,16,2.9,1,0.1,FASTENER,
MMM TAPE #1205 2 INCH WIDE,GSC28546,MMM,1.86,16,0.14,1,0.6,TAPE,
MMM TAPE #1205 3/4 INCH WIDE,GSC28543,MMM,1.05,16,0.07,1,0.64,TAPE,
MMM TAPE 105 MAGIC TAPE TRANSPARENT/ACRYLIC ADH/F,GSC27373,MMM,7.68,16,0.05,1,0.62,TAPE,
MMM TAPE 1157 POLYESTER FIBER/THERMOSET RUBBER,GSC23844,MMM,3.23,16,1.35,1,0.11,TAPE,3H
MMM TAPE 1157 POLYESTER FIBER/THERMOSET RUBBER/F,GSC23841,MMM,3.99,16,1.21,1,0.1,TAPE,
MMM TAPE 1170 ALUM FOIL/COND ACRYLIC ADH/F,GSC17075,MMM,0.49,16,0.21,1,0.05,TAPE,
MMM TAPE 1170 ALUMINUM FOIL/COND ACRYLIC ADH/F,GSC26104,MMM,0.55,13,0.27,1,0.03,TAPE,
MMM TAPE 1181 COPPER FOIL/ACRYLIC ADH/F,GSC17938,MMM,0.23,16,0.07,1,0.02,TAPE,
MMM TAPE 1181 COPPER FOIL/COND ACRYLIC ADH/F,GSC26107,MMM,0.27,13,0.13,1,0.02,TAPE,
MMM TAPE 1181 COPPER FOIL/COND ACRYLIC ADH/F,GSC26944,MMM,0.46,16,0.11,1,0.02,TAPE,
"MMM TAPE 1181, COPPER FOIL ACRYLIC ADHESIVE",GSC28066,MMM,0.42,16,0.19,1,0.02,TAPE,
MMM TAPE 1182 COPPER FOIL ACRYLIC ADH/FOIL SANDWICH,GSC25441,MMM,0.59,16,0.32,1,0.03,TAPE,
MMM TAPE 1183 TIN PLATED COPPER FOIL/ACRYLIC ADH/F,GSC20234,MMM,2.84,16,2.47,1,0.16,TAPE,
MMM TAPE 1190 CU POLYESTER CONDUCTIVE ACRYL ADH/F,GSC22615,MMM,1.37,16,0.81,1,0.11,CONDUCTIVE TAPE,
MMM TAPE 1194 COPPER FOIL/NON COND ACRYLIC ADH/F,GSC10260,MMM,0.28,16,0.14,1,0,TAPE,
MMM TAPE 1205 KAPTON/ACRYLIC ADH/F,GSC18176,MMM,0.75,16,0.14,1,0.31,TAPE,
"MMM TAPE 1205X2, LOT # 2120",GSC28309,MMM,2.07,16,0.13,1,0.65,TAPE,
MMM TAPE 1245 EMBBOSSED COPPER FOIL/ACRYLIC ADH/F,GSC26500,MMM,0.26,16,0.15,1,0.01,TAPE,
MMM TAPE 1245 EMBOSSED COPPER FOIL/ACRYLIC ADH/F,GSC13540,MMM,0.26,16,0.12,1,0.01,EMI SHIELD,
MMM TAPE 1245 EMBOSSED COPPER FOIL/ACRYLIC ADH/F,GSC14334,MMM,0.2,16,0.05,1,0.02,TAPE,
MMM TAPE 1245 EMBOSSED COPPER FOIL/ACRYLIC ADHESIVE,GSC28405,MMM,0.47,16,0.21,1,0.02,TAPE,
MMM TAPE 1245 EMBOSSED COPPER FOIL/ACRYLIC FR ADH/F,GSC17964,MMM,0.16,16,0.06,1,0.02,TAPE,
MMM TAPE 1245 EMBOSSED CU FOIL/COND ACRYL ADH/F,GSC23362,MMM,0.3,14,0.14,1,0.02,TAPE,
MMM TAPE 1267 EMBOSSED AL FOIL/COND ACRYL ADH/F,GSC23353,MMM,0.63,14,0.28,1,0.04,TAPE,
MMM TAPE 1280 CIRCUIT PLATING TAPE,GSC23508,MMM,3.51,16,0.97,1,0.11,TAPE,
MMM TAPE 1318 POLYESTER FILM/ACRYLIC ADH BLACK/F,GSC27424,MMM,0.87,16,0.09,1,0.1,TAPE,
MMM TAPE 1318 POLYESTER FILM/ACRYLIC ADH YELLOW/F,GSC27439,MMM,0.38,16,0.08,1,0.07,TAPE,
MMM TAPE 1318 POLYESTER FILM/ACRYLIC ADH/F - YELLOW,GSC11360,MMM,0.48,16,0.13,1,0.11,TAPE,
MMM TAPE 1339 POLYESTER FILM GLASS ACRYLIC ADH/F,GSC24384,MMM,0.64,16,0.13,1,0.13,TAPE,2H
MMM TAPE 1339 POLYESTER FILM GLASS/F,GSC24069,MMM,0.86,16,0.17,1,0.12,TAPE,
MMM TAPE 1345 EMBOSSED CU/SN ALLOY COAT/ACR ADH/F,GSC19587,MMM,0.23,16,0.11,1,0.01,TAPE,
MMM TAPE 1345 EMBOSSED CU/SN ALLOY COAT/ACRYL ADH/F,GSC23371,MMM,0.36,16,0.16,1,0.02,EMI TAPE,
MMM TAPE 136 RESIDUE ON GRAPHITE XTALS,GSFC3572,MMM,0,0,0,1,,RESIDUE,
MMM TAPE 218 POLYPROPYLENE GREEN/F,GSC27451,MMM,1.9,15,0.72,1,0.03,MASKING TAPE,
MMM TAPE 232 MASKING TAPE/PAPER & RUBBER ADHESIVE/F,GSC27370,MMM,6.48,16,1.27,1,1.91,TAPE,
MMM TAPE 250 FLATBACK MASKING/ACRYLIC ADH/F,GSC22021,MMM,5.68,16,1.15,1,2.36,MASKING TAPE,
MMM TAPE 27 GLASS CLOTH/THERMOSET RUBBER ADH,SRI13610,MMM,6.08,0,2.27,1,,TAPE,
MMM TAPE 27 GLASS CLOTH/THERMOSET RUBBER ADH,SRI13611,MMM,4.37,0,2.29,1,,TAPE,24H
MMM TAPE 363 ALUM GLASS CLOTH/SILICONE ADH (MOD)/F,GSC11741,MMM,1.28,16,0.63,1,0.07,TAPE,
MMM TAPE 363 ALUM GLASS CLOTH/SILICONE ADH/F,GSFC6917,MMM,1.3,16,0.47,1,0.16,TAPE,
MMM TAPE 365 GLASS CLOTH/THERMOSET RUBBER ADH/R,GSFC1915,MMM,2.46,16,0.99,1,,TAPE,3H
MMM TAPE 40 ANTI STATIC CLEAR POLYESTER/ACRYL ADH/F,GSC21729,MMM,0.91,16,0.04,1,0.4,ANTI STATIC TAPE,
MMM TAPE 4016 FOAM/2 SIDE ACRYLIC ADH/FOIL SANDWICH,GSFC5651,MMM,2.64,1,0.22,1,,FOAM TAPE 2 SIDE,
MMM TAPE 4032 SCOTCHMOUNT FOAM/2 SIDE ACRYLIC ADH/F,GSC12160,MMM,2.09,16,0.1,1,0.07,TAPE MOUNT,
MMM TAPE 4032 SCOTCHMOUNT FOAM/2 SIDE ACRYLIC ADH/F,GSC12163,MMM,2.26,16,0.15,1,0.07,TAPE MOUNT,24H
MMM TAPE 4032 SCOTCHMOUNT FOAM/2 SIDED ACRYLIC ADH/F,GSC26347,MMM,3.32,11,0.25,1,0.13,TAPE,
MMM TAPE 415 SCOTCHPAR FILE/2 SIDED ACRYLIC ADHESIVE/F,GSC30643,MMM,0.79,6,0.01,1,0.3,TRANSFER FILM,
MMM TAPE 415 SCOTCHPAR FILM/2 SIDE ACRYLIC ADH/F,GSFC6706,MMM,0.91,16,0.01,1,0.23,2 SIDED TAPE,
MMM TAPE 42 ANTI STATIC HIGH TEMP POLYIMIDE/ACRYLIC ADHESIVE,GSC28204,MMM,1.37,16,0.12,1,0.71,TAPE,
MMM TAPE 42 ANTI-STATIC HIGH TEMP POLYIMIDE ACRYL/F,GSC22612,MMM,1.12,16,0.02,1,1.12,ANTI-STATIC TAPE,
MMM TAPE 420 5 MIL LEAD FOIL/RUBBER BASE ADH/F,GSFC5889,MMM,0.09,16,0,1,,TAPE,
MMM TAPE 420 RUBBER BASE ADHESIVE ONLY/F,GSFC5890,MMM,1.85,16,0.14,1,,TAPE,
MMM TAPE 422 ACRYLIC ADHESIVE ONLY/F,GSFC6463,MMM,1.03,16,0.04,1,0.24,TAPE,
MMM TAPE 422 LEAD FOIL/ACRYLIC ADH/F,GSFC6461,MMM,0.05,16,0,1,0.01,TAPE,
MMM TAPE 425 3 MIL ALUM FOIL/ACRYLIC ADH/F,GSFC5296,MMM,0.2,16,0.01,1,,TAPE,
MMM TAPE 425 ALUM FOIL ACRYLIC ADHESIVE/F,GSC24693,MMM,0.18,16,0.01,1,0.05,TAPE,
MMM TAPE 425 ALUM FOIL/SYNTHETIC ADH,GSFC0234,MMM,0.24,16,0.03,1,,TAPE,
MMM TAPE 427 ALUM FOIL/ACR ADH/LINER/F (ADH ONLY),GSC21020,MMM,0.64,16,0.04,1,0.17,TAPE,
MMM TAPE 428B ALUM FOIL/SYN BLEND ACRYLIC ADH/R,GSFC2771,MMM,0.79,16,0.28,1,,TAPE,
MMM TAPE 433 2 MIL ALUM FOIL/SILICONE ADH/F (Y-9040),GSFC5299,MMM,0.53,16,0.25,1,,TAPE,
MMM TAPE 438 ALUM FOIL ACRYLIC ADHESIVE/F,GSC24690,MMM,0.12,16,0,1,0.03,TAPE,
MMM TAPE 464 TISSUE FILM/RUBBER ADH/R,GSFC3091,MMM,6.17,1,0.86,1,,2 SIDED TAPE,
MMM TAPE 465 TRANSFER FILM SYN ACRYLIC/FOIL SANDWICH,GSC13392,MMM,1.2,16,0.07,1,0.25,TRANSFER TAPE,
MMM TAPE 465 TRANSFER FILM SYN ACRYLIC/R,GSFC2769,MMM,0.84,1,0.2,1,,TRANSFER TAPE,
MMM TAPE 467 LAMINATING ACRYLIC ADH/FOIL SANDWICH,GSC27235,MMM,0.77,15,0.02,1,0.23,TAPE DOUBLE SIDE,
MMM TAPE 467 MP LAMINATING ACRYLIC ADH/FOIL SANDWICH,GSC27238,MMM,1.06,15,0.01,1,0.19,TAPE DOUBLE SIDE,
MMM TAPE 467 MP LAMINATING ACRYLIC ADH/FOIL SANDWICH,GSC27448,MMM,1.6,15,0.03,1,0.25,TRANSFER TAPE,
MMM TAPE 467 SYNTHETIC ADH FILM,GSFC1945,MMM,1.32,16,0.08,1,,TRANSFER TAPE,4H
MMM TAPE 467 TRANSFER FILM ACRYLIC/FOIL SANDWICH,GSFC5585,MMM,1.19,16,0.06,1,,TRANSFER TAPE,
MMM TAPE 467 TRANSFER FILM ACRYLIC/FOIL SANDWICH,GSFC8765,MMM,0.88,16,0.02,1,0.15,TRANSFER TAPE,24H
MMM TAPE 467 TRANSFER FILM SYN ACRYLIC/R,GSFC2767,MMM,0.97,0,0.14,1,,TRANSFER TAPE,
MMM TAPE 467MP ACRYLIC TRANSFER TAPE/F,GSC20791,MMM,1.03,1,0.02,1,0.2,TRANSFER TAPE,
MMM TAPE 467MP TRANSFER FILM/ACRYLIC/FOIL SANDWICH,GSC14704,MMM,1.66,16,0.04,1,0.26,TRANSFER TAPE,
MMM TAPE 467NBA FIBER IMBED ACRYLIC TRANS FILM/F,GSFC7505,MMM,0.83,16,0.04,1,0.07,TRANSFER TAPE,
MMM TAPE 468 TRANSFER FILM ACRYLIC/FOIL SANDWICH,GSC25155,MMM,1.22,1,0.04,1,0.2,TRANSFER TAPE,
MMM TAPE 470 VINYL FILM/YELLOW SYN RUBBER ADH/F,GSC14205,MMM,11.45,16,7.05,1,0.22,TAPE,
MMM TAPE 470 VINYL FILM/YELLOW SYN RUBBER ADH/F '84,GSC14208,MMM,10.36,16,6.39,1,0.16,TAPE,
MMM TAPE 471 VINYL/SYNTHETIC RUBBER ADH/R,GSFC3642,MMM,6.3,16,2.91,1,,TAPE,
MMM TAPE 480 POLYETHYLENE/ACRYLIC ADH/F,GSC18562,MMM,0.37,16,0.03,1,0.06,TAPE - SPLICING,
MMM TAPE 481-2 BLACK POLYETHYLENE/SYN RUBBER ADH/F,GSC16886,MMM,2.24,16,0.89,1,0.01,TAPE,
MMM TAPE 4962 SCOTCHMOUNT NEOP FOAM/2 SIDE ACR ADH/F,GSC13305,MMM,2.64,16,0.61,1,0.62,2 SIDED TAPE,
MMM TAPE 5 OVER MMM TAPE 56 OVER MMM TAPE X-1181/R,GSFC1327,MMM,0.89,0,0.08,1,,TAPE COMPOSITE,
MMM TAPE 5 OVER MMM TAPE 56 OVER MMM TAPE X-1181/R,GSFC1330,MMM,0.74,0,0.07,1,,TAPE COMPOSITE,48H
MMM TAPE 5 POLYESTER/ACRYLIC ADH/F,GSC16142,MMM,0.57,16,0.09,1,0.16,TAPE,
MMM TAPE 5 POLYESTER/ACRYLIC ADH/F,GSC21867,MMM,0.42,16,0.15,1,0.14,TAPE,
MMM TAPE 5 POLYESTER/ACRYLIC ADH/F LOT# N431140,GSC22813,MMM,0.34,16,0.09,1,0.14,TAPE,
MMM TAPE 5 POLYESTER/ACRYLIC ADH/R,GSFC0527,MMM,0.56,16,0,1,,TAPE,
MMM TAPE 5 POLYESTER/ACRYLIC ADH/S,GSFC0524,MMM,0.4,0,0,1,,TAPE,
MMM TAPE 5 POLYESTER/ACRYLIC ADHESIVE/F,GSC27403,MMM,0.48,16,0.06,1,0.08,TAPE,
MMM TAPE 502 ULTRA CLEAN ACRYLIC ADH/FOIL SANDWICH,GSC27241,MMM,0.77,15,0.01,1,0.16,TAPE DOUBLE SIDE,
MMM TAPE 53 POLYESTER/THERMOSET RUBBER ADH/R,GSFC3920,MMM,1.02,16,0.13,1,,TAPE,3H
MMM TAPE 5411 KAPTON/SILICONE ADH/F,GSFC6140,MMM,0.58,16,0.03,1,0.27,TAPE,1H
MMM TAPE 5413 KAPTON/SILICONE ADH/F,GSC27310,MMM,1.5,13,0.5,1,0.35,TAPE,
MMM TAPE 5413 KAPTON/SILICONE ADH/F,GSFC6143,MMM,0.87,16,0.32,1,0.18,TAPE,1H
MMM TAPE 5490 TEFLON TFE/SILICONE ADH/F,GSFC7397,MMM,0.72,16,0.4,1,0.03,TAPE,
MMM TAPE 56 OVER MMM TAPE X-1181/R,GSFC1321,MMM,0.67,0,0.09,1,,TAPE COMPOSITE,48H
MMM TAPE 56 OVER MMM TAPE X-1181/R,GSFC1324,MMM,0.97,0,0.19,1,,TAPE COMPOSITE,
MMM TAPE 56 POLYESTER/THERMOSET RUBBER ADH/R,GSFC0918,MMM,2.67,16,0.24,1,,TAPE,
MMM TAPE 56 POLYESTER/THERMOSET RUBBER ADH/R,GSFC3077,MMM,1.22,16,0.27,1,,TAPE,3H
MMM TAPE 56 POLYESTER/THERMOSET RUBBER ADH/S,GSFC0921,MMM,3.93,0,0.69,1,,TAPE,
MMM TAPE 59 POLYESTER/ACRYLIC ADH/R,GSFC0530,MMM,1.25,99,0,1,,TAPE,
MMM TAPE 59 POLYESTER/ACRYLIC ADH/S,GSFC0521,MMM,2.37,0,0.15,1,,TAPE,
MMM TAPE 61 TEFLON TFE/THERMOSET SILICONE ADH/R,GSFC3075,MMM,0.14,16,0.07,1,,TAPE,3H
MMM TAPE 61 TEFLON TFE/THERMOSET SILICONE ADH/R,GSFC3906,MMM,0.33,16,0.09,1,,TAPE,
MMM TAPE 62 TEFLON TFE/THERMOSET SILICONE ADH,GSC22918,MMM,1.1,16,0.69,6,0.04,TAPE,45M
MMM TAPE 62 TEFLON TFE/THERMOSET SILICONE ADH,SRI13601,MMM,1.11,0,0.97,1,,TAPE,
MMM TAPE 62 TEFLON TFE/THERMOSET SILICONE ADH,SRI13602,MMM,0.86,0,0.7,1,,TAPE,24H
MMM TAPE 63 TEFLON TFE/THERMOSET ACRYLIC ADH/R,GSFC2777,MMM,0.33,16,0.03,1,,TAPE,
MMM TAPE 65 TEFLON TFE/ACRYLIC ADH/R,GSFC1870,MMM,0.29,16,0.08,1,,TAPE,
MMM TAPE 666 PVC FILM/2 SIDE ACRYLIC ADH/R,GSFC3305,MMM,2.11,1,0.15,1,,2 SIDED TAPE,
MMM TAPE 67 EPOXY RESIN GLASS CLOTH/THERMOSET RUB/R,GSFC0536,MMM,2.76,16,0.71,1,,TAPE,
MMM TAPE 67 EPOXY RESIN GLASS CLOTH/THERMOSET RUB/S,GSFC0533,MMM,3.16,0,0.74,1,,TAPE,
MMM TAPE 670 CELLOPHANE/TISSUE PAPER/ACRYLIC-RUBBER,GSFC2747,MMM,5.92,16,1.09,1,,TAPE,
MMM TAPE 69 GLASS CLOTH/THERMOSET SILICONE ADH/S,GSFC2312,MMM,2.25,16,1.18,1,,TAPE,
MMM TAPE 70 SILICONE RUBBER TAPE/SILICONE ADH,GSFC1309,MMM,0.97,16,0.42,1,,TAPE,24H
MMM TAPE 70 SILICONE RUBBER TAPE/SILICONE ADH/R,GSFC1252,MMM,1.62,16,0.73,1,,TAPE,
MMM TAPE 70 SILICONE RUBBER TAPE/SILICONE ADH/R,GSFC1492,MMM,0.4,16,0.07,1,,TAPE,24H
MMM TAPE 74 POLYESTER FILM/THERMOSET RUBBER ADH/F,GSFC9017,MMM,2.2,16,0.6,1,0.04,TAPE,
MMM TAPE 75 POLYESTER FILM/THERMOSET RUB ADH/R CYCLE,GSFC1440,MMM,3.12,16,0.72,2,,TAPE,24H
MMM TAPE 75 POLYESTER FILM/THERMOSET RUBBER ADH/R,GSFC1234,MMM,5.26,16,0.75,1,,TAPE,
MMM TAPE 75 POLYESTER FILM/THERMOSET RUBBER ADH/R,GSFC1294,MMM,3.78,0,0.98,1,,TAPE,2H
MMM TAPE 79 GLASS CLOTH/ACRYLIC ADH/F,GSC21022,MMM,0.53,16,0.18,1,0.1,TAPE,
MMM TAPE 79 GLASS CLOTH/ACRYLIC ADH/F,GSFC5811,MMM,0.54,16,0.07,1,,TAPE,
MMM TAPE 8370 PET METALLIZED SILVER ACRYLIC ADH/F,GSC27442,MMM,0.31,15,0.02,1,0.18,TAPE,
MMM TAPE 838 TELDAR ACRYLIC ADHESIVE/F,GSC26584,MMM,0.76,16,0.03,1,0.19,TAPE,
MMM TAPE 838 VD GOLD/KAPTON/ACRYLIC ADH/F,GSC19935,MMM,1.91,16,0.02,1,0.61,THERM CONTROL,
MMM TAPE 838 WHITE TEDLAR FILM PVF/F,GSC18230,MMM,0.48,16,0.03,1,0.19,TAPE,
MMM TAPE 8402 POLYESTER FILM/SILICONE ADH/F (Y-9064),GSFC5733,MMM,0.73,16,0.31,1,,TAPE,
MMM TAPE 8402 POLYESTER FILM/SILICONE ADH/F (Y-9064),GSFC6526,MMM,1.18,16,0.45,1,0.02,TAPE,
MMM TAPE 8439 PET METALLIZED SILVER ACRYLIC ADH/F,GSC27445,MMM,0.38,15,0.01,1,0.16,TAPE,
MMM TAPE 848 VAP DEP AU/KAPTON/ACR ADH/F (Y-9184A),GSFC8336,MMM,1.81,16,0.02,1,0.51,TAPE,
MMM TAPE 848 VAP DEP AU/KAPTON/ACR ADH/F LOT 9,GSC12412,MMM,1.79,16,0.02,1,0.64,TAPE,
MMM TAPE 849 VAP DEP AU/KAPTON/SILICONE ADH/F,GSC12330,MMM,1.99,16,0.71,1,0.52,TAPE,
MMM TAPE 850 ALUMINIZED POLYESTER/ACRYLIC ADH/R,GSFC2773,MMM,0.68,16,0.09,1,,TAPE,
MMM TAPE 850 BLACK MYLAR/ACRYLIC ADH/R,GSFC0900,MMM,0.77,16,0.02,1,,TAPE,
MMM TAPE 850 BLACK MYLAR/ACRYLIC ADH/R,GSFC0903,MMM,0.65,0,0.09,1,,TAPE,
MMM TAPE 850 BLACK MYLAR/ACRYLIC ADHESIVE/F,GSC27955,MMM,0.49,16,0.06,1,0.16,TAPE,
MMM TAPE 850 MYLAR/ACRYLIC ADH RED/F,GSC24357,MMM,0.78,16,0.05,1,0.31,TAPE,
MMM TAPE 850 MYLAR/ALUMINIZED/CLEAR ACRYLIC ADH/F,GSC15976,MMM,0.74,16,0.03,1,0.23,TAPE,
MMM TAPE 850 MYLAR/RED ACRYLIC ADH/F,GSC15974,MMM,0.77,16,0.02,1,0.31,TAPE,
MMM TAPE 850 MYLAR/WHITE ACRYLIC ADH/F,GSC15972,MMM,0.48,16,0.04,1,0.16,TAPE,
MMM TAPE 850 RED MYLAR/ACRYLIC ADHESIVE ,GSC28225,MMM,0.97,16,0.06,1,0.55,TAPE,
MMM TAPE 850 TRANSPARENT POLYESTER/ACRYLIC ADH/F,GSC12181,MMM,0.61,16,0.08,1,0.05,TAPE,
MMM TAPE 850 WHITE MYLAR/ACRYLIC ADHESIVE/F,GSC27400,MMM,0.37,16,0.02,1,0.14,TAPE,
MMM TAPE 851 POLYESTER FILM/GREEN SPEC BLEND ADH/F,GSC12157,MMM,3.33,16,0.93,1,0.07,TAPE,
MMM TAPE 852 ALUM/MYLAR/ACRYLIC ADH/F,GSFC5282,MMM,0.79,16,0.02,1,,TAPE,
MMM TAPE 852 ALUM/MYLAR/ACRYLIC ADH/F,GSFC5302,MMM,0.7,16,0.02,1,,TAPE,
MMM TAPE 852 ALUM/POLYESTER LABEL STOCK,GSC13819,MMM,7.18,11,2.27,1,2.74,LABEL,
MMM TAPE 854 TRANSPARENT P'ESTER/WHITE SYN RUB ADH/F,GSC12184,MMM,2.2,16,0.14,1,0.12,TAPE,
